Prevotella intermedia,RR197001
Prevotella melaninogenica,RR197001
Streptococcus equinus,RR197001
Streptococcus pneumoniae,RR197001
Streptococcus mitis,RR197001
Streptococcus oralis,RR197001
Streptococcus gordonii,RR197001
Streptococcus agalactiae,RR197001
Streptococcus suis,RR197001
Streptococcus sanguinis,RR197001
Streptococcus anginosus,RR197001
Streptococcus mutans,RR197001
Streptococcus equi,RR197001
Streptococcus pyogenes,RR197001
Haemophilus parainfluenzae,RR197001
Haemophilus influenzae,RR197001
Clostridioides difficile,RR197001
Clostridium perfringens,RR197001
Enterococcus faecium,RR197001
Enterococcus faecalis,RR197001
Porphyromonas gingivalis,RR197001
Aggregatibacter aphrophilus,RR197001
Escherichia coli,RR197001
Staphylococcus aureus,RR197001
Clostridium botulinum,RR197003
Clostridium perfringens,RR197003
Clostridium septicum,RR197003
Prevotella intermedia,RR197003
Prevotella melaninogenica,RR197003
Clostridioides difficile,RR197003
Streptococcus agalactiae,RR197003
Streptococcus suis,RR197003
Streptococcus pneumoniae,RR197003
Streptococcus anginosus,RR197003
Streptococcus equinus,RR197003
Streptococcus pyogenes,RR197003
Enterococcus faecium,RR197003
Enterococcus faecalis,RR197003
Paraclostridium bifermentans,RR197003
Escherichia coli,RR197003
Parvimonas micra,RR197003
Campylobacter jejuni,RR197003
[Haemophilus] ducreyi,RR197003
Klebsiella pneumoniae,RR197003
Finegoldia magna,RR197003
Salmonella enterica,RR197003
Staphylococcus aureus,RR197003
Prevotella intermedia,RR197004
Campylobacter jejuni,RR197004
Campylobacter coli,RR197004
Clostridium perfringens,RR197004
Clostridium botulinum,RR197004
Clostridium septicum,RR197004
Blastocystis hominis,RR197004
Clostridioides difficile,RR197004
Streptococcus suis,RR197004
Streptococcus agalactiae,RR197004
Streptococcus mitis,RR197004
Streptococcus sanguinis,RR197004
Streptococcus oralis,RR197004
Streptococcus equi,RR197004
Enterococcus faecium,RR197004
Enterococcus faecalis,RR197004
Haemophilus parainfluenzae,RR197004
Klebsiella pneumoniae,RR197004
Klebsiella oxytoca,RR197004
Klebsiella aerogenes,RR197004
Paraclostridium bifermentans,RR197004
Porphyromonas gingivalis,RR197004
Fusobacterium nucleatum,RR197004
Bacillus cereus,RR197004
Erysipelothrix rhusiopathiae,RR197004
Escherichia coli,RR197004
Staphylococcus aureus,RR197004
Salmonella enterica,RR197004
Escherichia coli,RR197005
Klebsiella pneumoniae,RR197005
Streptococcus equinus,RR197005
Streptococcus pneumoniae,RR197005
Streptococcus mitis,RR197005
Streptococcus oralis,RR197005
Streptococcus suis,RR197005
Streptococcus mutans,RR197005
Streptococcus agalactiae,RR197005
Streptococcus gordonii,RR197005
Streptococcus sanguinis,RR197005
Streptococcus pyogenes,RR197005
Enterococcus faecium,RR197005
Enterococcus gallinarum,RR197005
Enterococcus faecalis,RR197005
Salmonella enterica,RR197005
Shigella sonnei,RR197005
Candida albicans,RR197005
Campylobacter jejuni,RR197005
Pseudomonas aeruginosa,RR197005
Clostridioides difficile,RR197005
Enterococcus faecium,RR197006
Enterococcus faecalis,RR197006
Escherichia coli,RR197006
Enterocytozoon bieneusi,RR197006
Streptococcus gordonii,RR197006
Streptococcus oralis,RR197006
Streptococcus mitis,RR197006
Salmonella enterica,RR197006
Shigella sonnei,RR197006
Shigella dysenteriae,RR197006
Shigella flexneri,RR197006
Shigella boydii,RR197006
Prevotella intermedia,RR197006
Clostridioides difficile,RR197006
Rothia dentocariosa,RR197006
Klebsiella pneumoniae,RR197006
Citrobacter freundii,RR197006
Enterobacter cloacae,RR197006
Finegoldia magna,RR197006
Abiotrophia defectiva,RR197006
Prevotella intermedia,RR197007
Prevotella melaninogenica,RR197007
Clostridioides difficile,RR197007
Clostridium botulinum,RR197007
Clostridium perfringens,RR197007
Streptococcus suis,RR197007
Streptococcus pneumoniae,RR197007
Streptococcus agalactiae,RR197007
Streptococcus gordonii,RR197007
Streptococcus equinus,RR197007
Streptococcus oralis,RR197007
Streptococcus pyogenes,RR197007
Campylobacter jejuni,RR197007
Enterococcus faecium,RR197007
Enterococcus faecalis,RR197007
Paraclostridium bifermentans,RR197007
Parvimonas micra,RR197007
Pseudomonas aeruginosa,RR197007
Prevotella intermedia,RR197010
Clostridium perfringens,RR197010
Clostridium botulinum,RR197010
Escherichia coli,RR197010
Streptococcus suis,RR197010
Streptococcus equinus,RR197010
Streptococcus pneumoniae,RR197010
Streptococcus mitis,RR197010
Streptococcus gordonii,RR197010
Streptococcus oralis,RR197010
Streptococcus sanguinis,RR197010
Streptococcus agalactiae,RR197010
Streptococcus anginosus,RR197010
Streptococcus equi,RR197010
Clostridioides difficile,RR197010
Haemophilus parainfluenzae,RR197010
Klebsiella pneumoniae,RR197010
Enterococcus faecium,RR197010
Enterococcus faecalis,RR197010
Paraclostridium bifermentans,RR197010
